categoria,precio_promedio,fecha
Lentejas > Legumbres > LEGUMBRES > Arroz Y Legumbres > Almacén > ALIMENTOS SECOS,2635.33,20260219
Licores > Bebidas Con Alcohol > Bebidas,26145.69,20260219
Licores > Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL > BEBIDAS BLANCAS Y DESTILADAS,32700.0,20260219
Licores > LICORES > Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL,15933.54,20260219
Lima > Frutas Y Verduras > Frutas > Frescos,1999.0,20260219
Limones > Frutas Y Verduras > Frutas > Frescos,4632.33,20260219
Limpieza > Accesorios De Limpieza,5537.99,20260219
Limpieza > Baldes Y Mopas > Accesorios De Limpieza,82990.0,20260219
Limpieza > Baldes Y Mopas > Baldes > Accesorios De Limpieza,18466.49,20260219
Limpieza > Bolsas De Residuos > Bolsas > Accesorios De Limpieza,6291.75,20260219
Limpieza > Bolsas Herméticas > Bolsas > Accesorios De Limpieza,7347.39,20260219
Limpieza > Broches > Accesorios De Limpieza,4073.24,20260219
Limpieza > Desodorantes De Ambiente > Antihumedad,10686.25,20260219
Limpieza > Desodorantes De Ambiente > Aromatizantes De Ambiente,6202.79,20260219
Limpieza > Desodorantes De Ambiente > Aromatizantes De Ambiente > Ambientes Y Telas,9930.24,20260219
Limpieza > Desodorantes De Ambiente > Desinfectantes De Ambiente,4396.57,20260219
Limpieza > Desodorantes Y Aromatizantes > Desodorantes De Ambiente > Aromatizantes De Ambiente > Aparatos Y Difusores,26791.99,20260219
Limpieza > Desodorantes Y Aromatizantes > Desodorantes De Ambiente > Atomizador > Aromatizantes De Ambiente,4819.99,20260219
Limpieza > Difusor Contínuo > Desodorantes De Ambiente > Aromatizantes De Ambiente > Aparatos Y Difusores,8048.17,20260219
Limpieza > En Aerosol > Desodorantes De Ambiente > Aromatizantes De Ambiente,6567.72,20260219
Limpieza > Escobas Y Escobillones > Accesorios De Limpieza,11040.96,20260219
Limpieza > Esponjas Y Guantes > Esponjas > Accesorios De Limpieza,2420.48,20260219
Limpieza > Esponjas Y Guantes > Esponjas De Acero > Accesorios De Limpieza,2569.76,20260219
Limpieza > Esponjas Y Guantes > Esponjas De Acero > Esponjas > Accesorios De Limpieza,1075.99,20260219
Limpieza > Film Adherente > Accesorios De Limpieza,8658.99,20260219
Limpieza > Franelas > Accesorios De Limpieza,3294.49,20260219
Limpieza > Guantes > Esponjas Y Guantes > Accesorios De Limpieza,4494.73,20260219
Limpieza > Heladeras Y Freezers > Desodorantes De Ambiente > Aromatizantes De Ambiente,5584.99,20260219
Limpieza > LIMPIEZA > Desodorantes De Ambiente > Antihumedad > ANTIHUMEDAD,17542.99,20260219
Limpieza > LIMPIEZA > Escobas Y Escobillones > Escobas / Escobillones > ESCOBAS / ESCOBILLONES > Accesorios De Limpieza,5763.99,20260219
Limpieza > LIMPIEZA > Esponjas Y Guantes > Esponjas > ESPONJAS > Accesorios De Limpieza,2425.7,20260219
Limpieza > Lavado,12237.99,20260219
Limpieza > Lavado > Apresto,4481.66,20260219
Limpieza > Lavado > Detergente Para Ropa,9975.74,20260219
Limpieza > Lavado > Enjuagues Y Suavizantes > Enjuague De Ropa,9861.14,20260219
Limpieza > Lavado > Fragancias Para La Ropa,3936.84,20260219
Limpieza > Lavado > Jabón En Barra,1696.49,20260219
Limpieza > Lavado > Jabón Liquido Y En Polvo > Jabón En Polvo,6414.71,20260219
Limpieza > Lavado > Jabón Liquido Y En Polvo > Jabón Liquido,6917.37,20260219
Limpieza > Lavandinas En Gel > Lavandinas,2781.08,20260219
Limpieza > Lavandinas Liquidas > Lavandinas,2687.04,20260219
Limpieza De Baño > Limpieza > Desodorantes De Inodoro > Bloques Para Mochila,3984.74,20260219
Limpieza De Baño > Limpieza > Desodorantes De Inodoro > Canastas,3717.32,20260219
Limpieza De Baño > Limpieza > Desodorantes Y Aromatizantes > Desodorantes De Inodoro > Bloques Para Mochila,3500.99,20260219
Limpieza De Baño > Limpieza > Limpia Inodoros Adhesivo > Desodorantes De Inodoro,5389.99,20260219
Limpieza De Baño > Limpieza > Limpia Inodoros Adhesivo > Discos Adhesivos > Desodorantes De Inodoro,5373.99,20260219
Limpieza De Baño > Limpieza > Limpia Inodoros Adhesivo > Discos Adhesivos > Desodorantes Y Aromatizantes > Desodorantes De Inodoro,5389.99,20260219
Limpieza De Baño > Limpieza > Limpiadores De Baño,3159.1,20260219
Limpieza De Baño > Limpieza > Limpiadores Para Inodoro > Limpiadores De Baño,4201.66,20260219
Limpieza De Baño > Limpieza > Limpiadores Para Inodoro > Limpiadores De Baño > Limpiadores > Baño,5772.99,20260219
Limpieza De Cocina > Limpieza > Bolsas Para Alimentos > Bolsas,3785.66,20260219
Limpieza De Cocina > Limpieza > Bolsas Para Freezer > Bolsas,3168.99,20260219
Limpieza De Cocina > Limpieza > Detergentes,4046.44,20260219
Limpieza De Cocina > Limpieza > Fósforos,1523.2,20260219
Limpieza De Cocina > Limpieza > Lavavajillas > Detergentes,1546.99,20260219
Limpieza De Cocina > Limpieza > Limpiadores De Cocina,3136.99,20260219
Limpieza De Cocina > Limpieza > Limpiadores De Cocina > Limpiadores Antigrasa,2993.43,20260219
Limpieza De Cocina > Limpieza > Limpiadores De Cocina > Limpiadores Antigrasa > Limpiadores > Cocina,2003.99,20260219
Limpieza De Cocina > Limpieza > Limpiadores De Horno > Limpiadores De Cocina,5928.49,20260219
Limpieza De Pisos Y Superficies > Limpieza > Ceras Y Autobrillos,7877.41,20260219
Limpieza De Pisos Y Superficies > Limpieza > Ceras Y Autobrillos > Ceras > Autobrillos,4875.0,20260219
Limpieza De Pisos Y Superficies > Limpieza > LIMPIEZA > Ceras Y Autobrillos > Ceras > CERAS > Brillos Tradicionales > BRILLOS TRADICIONALES,7063.99,20260219
Limpieza De Pisos Y Superficies > Limpieza > LIMPIEZA > Ceras Y Autobrillos > Ceras Liquidas > Ceras > CERAS LIQUIDAS > CERAS,8900.0,20260219
Limpieza De Pisos Y Superficies > Limpieza > Limpia Metales,10800.99,20260219
Limpieza De Pisos Y Superficies > Limpieza > Limpia Vidrios,5499.93,20260219
Limpieza De Pisos Y Superficies > Limpieza > Limpiadores Cremosos,3582.99,20260219
Limpieza De Pisos Y Superficies > Limpieza > Limpiadores De Pisos Y Superficies,3474.55,20260219
Limpieza De Pisos Y Superficies > Limpieza > Limpiadores Desinfectantes,4652.49,20260219
Lomo > Frescos > Fiambres,28433.1,20260219
Lomo > Frescos > Fiambres > FIAMBRES COCIDOS > FIAMBRES > FIAMBRERIA > ALIMENTOS FRESCOS,4739.0,20260219
Longaniza > Frescos > Fiambres,31191.0,20260219
Lustramuebles > Limpieza De Pisos Y Superficies > Limpieza,4528.07,20260219
Lácteos > Frescos > Alimento Lácteo,1746.4,20260219
Lácteos > Frescos > Alimentos Vegetales,3895.75,20260219
Lácteos > Frescos > Cremas > Crema Chantilly,8890.0,20260219
Lácteos > Frescos > Cremas De Leche > Cremas,3848.5,20260219
Lácteos > Frescos > Dulce De Leche,4552.14,20260219
Lácteos > Grasas Animales > Frescos,2499.0,20260219
Lácteos > Hummus > Frescos,4556.43,20260219
Lácteos > Leches > Frescos > Alimentos Vegetales,6711.88,20260219
Lácteos > Leches Frescas > Leches Descremadas > Leches > Frescos,1529.6,20260219
Lácteos > Leches Frescas > Leches Enteras > Leches > Frescos,1589.5,20260219
Lácteos > Leches Frescas > Leches Fermentadas > Leches > Frescos,3452.5,20260219
Lácteos > Leches Infantiles > Leches > Frescos,3514.0,20260219
Lácteos > Leches Infantiles > Leches > Frescos > 0 A 6 Meses,2006.6,20260219
Lácteos > Leches Infantiles > Leches > Frescos > 1 A 3 Años,1661.33,20260219
Lácteos > Leches Infantiles > Leches > Frescos > 6 A 12 Meses,1957.8,20260219
Lácteos > Leches Infantiles > Leches > Frescos > A Partir 1 Año,5640.58,20260219
Lácteos > Leches Larga Vida > Leches Descremadas > Leches > Frescos,2509.25,20260219
Lácteos > Leches Larga Vida > Leches Descremadas > Leches > Leche > Frescos,2500.0,20260219
Lácteos > Leches Larga Vida > Leches Enteras > Leches > Frescos,2378.75,20260219
Lácteos > Leches Larga Vida > Leches Enteras > Leches > Leche > Frescos,2385.0,20260219
Lácteos > Leches Reducidas En Lactosa > Leches Frescas > Leches > Frescos,1580.0,20260219
Lácteos > Leches Reducidas En Lactosa > Leches Larga Vida > Leches > Frescos,2345.75,20260219
Lácteos > Leches Saborizadas > Leches > Leche Chocolatada > Frescos,3215.85,20260219
Lácteos > Leches Saborizadas > Leches Frescas > Leches > Frescos,2859.5,20260219
Lácteos > Levaduras > Frescos,684.57,20260219
Lácteos > LÁCTEOS > Frescos > Dulce De Leche > DULCE DE LECHE > ALIMENTOS FRESCOS,3499.0,20260219
Lácteos > LÁCTEOS > Leches Larga Vida > Leches Descremadas > Leches > Leche > LECHE > Frescos > ALIMENTOS FRESCOS,2385.0,20260219
